 0.74765E+03 0.29371E+01 0.00000E+00    14001      818    3      813 0.109E+01 0.51913E-02  0.74765E+03
   1    0.77022E+03    0.15110E+02    0.87730E+00    0.26395E+04    0.77022E+03
   2    0.74418E+03    0.60992E+01    0.51835E+00    0.20261E+04    0.74418E+03
   3    0.74755E+03    0.29238E+01    0.34982E+00    0.14357E+04    0.74755E+03
