 0.41044E+00 0.27941E-02 0.00000E+00    30001     1801    4     1797 0.438E+04 0.14222E-05  0.41044E+00
   2    0.41157E+00    0.10439E-01    0.16042E+01    0.12259E+02    0.41157E+00
   3    0.41549E+00    0.81227E-02    0.17486E+01    0.48878E+02    0.41549E+00
   4    0.40958E+00    0.31043E-02    0.95872E+00    0.81324E+01    0.40958E+00
