 0.67924E+00 0.67481E-02 0.00000E+00    30001     4207    4     1396 0.206E+04 0.23605E-05  0.67924E+00
   2    0.69441E+00    0.24709E-01    0.22505E+01    0.33287E+02    0.69441E+00
   3    0.67359E+00    0.12768E-01    0.16954E+01    0.15487E+02    0.67359E+00
   4    0.67981E+00    0.83942E-02    0.15619E+01    0.25035E+02    0.67981E+00
