 0.41996E+00 0.50625E-02 0.00000E+00    14001     1876    3     1117 0.266E+04 0.29244E-05  0.41996E+00
   1    0.40720E+00    0.20303E-01    0.22298E+01    0.14298E+02    0.40720E+00
   2    0.41988E+00    0.96185E-02    0.14488E+01    0.55493E+01    0.41988E+00
   3    0.42111E+00    0.62269E-02    0.13226E+01    0.88658E+01    0.42111E+00
