 0.28335E+00 0.51157E-02 0.00000E+00    14001     1170    3      806 0.284E+04 0.19984E-05  0.28335E+00
   1    0.26294E+00    0.15132E-01    0.25737E+01    0.93310E+01    0.26294E+00
   2    0.27567E+00    0.66202E-02    0.15188E+01    0.63953E+01    0.27567E+00
   3    0.28776E+00    0.43336E-02    0.13470E+01    0.12679E+02    0.28776E+00
