1       d s > d s chi chi~
mirror  s d > d s chi chi~
2       d s~ > d s~ chi chi~
mirror  s~ d > d s~ chi chi~
3       d~ s~ > d~ s~ chi chi~
mirror  s~ d~ > d~ s~ chi chi~
