 0.75089E+03 0.12350E+01 0.00000E+00    30001     1585    4     1580 0.210E+01 0.26077E-02  0.75089E+03
   2    0.75181E+03    0.59577E+01    0.50119E+00    0.19770E+04    0.75181E+03
   3    0.75013E+03    0.28078E+01    0.33479E+00    0.13740E+04    0.75013E+03
   4    0.75103E+03    0.14133E+01    0.23804E+00    0.11380E+04    0.75103E+03
