 0.11668E+04 0.20792E+01 0.00000E+00    30001     1599    4     1594 0.137E+01 0.40538E-02  0.11668E+04
   2    0.11567E+04    0.10139E+02    0.55439E+00    0.30255E+04    0.11567E+04
   3    0.11662E+04    0.48203E+01    0.36971E+00    0.22620E+04    0.11662E+04
   4    0.11675E+04    0.23666E+01    0.25641E+00    0.18000E+04    0.11675E+04
