 0.24957E-05 0.23429E-07 0.00000E+00    30001     2578    4     1206 0.483E+09 0.87289E-11  0.24957E-05
   2    0.24527E-05    0.68325E-07    0.17618E+01    0.71272E-04    0.24527E-05
   3    0.24752E-05    0.43049E-07    0.15556E+01    0.57154E-04    0.24752E-05
   4    0.25139E-05    0.30593E-07    0.15393E+01    0.10681E-03    0.25139E-05
