 0.41896E+00 0.46972E-02 0.00000E+00    14001      934    3      929 0.222E+04 0.29142E-05  0.41896E+00
   1    0.39115E+00    0.29385E-01    0.33597E+01    0.16381E+02    0.39115E+00
   2    0.41934E+00    0.11199E-01    0.16890E+01    0.17930E+02    0.41934E+00
   3    0.41965E+00    0.52554E-02    0.11201E+01    0.78479E+01    0.41965E+00
