 0.22663E+00 0.56244E-02 0.00000E+00    14001     1230    3      816 0.360E+04 0.16089E-05  0.22663E+00
   1    0.22155E+00    0.12490E-01    0.25212E+01    0.77213E+01    0.22155E+00
   2    0.21415E+00    0.53443E-02    0.15783E+01    0.59441E+01    0.21415E+00
   3    0.23168E+00    0.35364E-02    0.13653E+01    0.89457E+01    0.23168E+00
