 0.47981E-04 0.48321E-06 0.00000E+00    30001     2376    4     1104 0.230E+08 0.16731E-09  0.47981E-04
   2    0.46418E-04    0.14465E-05    0.19709E+01    0.12032E-02    0.46418E-04
   3    0.48103E-04    0.98031E-06    0.18228E+01    0.19967E-02    0.48103E-04
   4    0.48186E-04    0.60127E-06    0.15784E+01    0.21819E-02    0.48186E-04
