 0.11670E+04 0.22868E+01 0.00000E+00    30001     1578    4     1573 0.135E+01 0.40501E-02  0.11670E+04
   2    0.11546E+04    0.10494E+02    0.57483E+00    0.36111E+04    0.11546E+04
   3    0.11717E+04    0.48249E+01    0.36832E+00    0.23998E+04    0.11717E+04
   4    0.11664E+04    0.23752E+01    0.25757E+00    0.18411E+04    0.11664E+04
