 0.42029E+00 0.51876E-02 0.00000E+00    14001     1900    3     1045 0.249E+04 0.29304E-05  0.42029E+00
   1    0.42020E+00    0.19300E-01    0.20541E+01    0.92522E+01    0.42020E+00
   2    0.41526E+00    0.10626E-01    0.16184E+01    0.13536E+02    0.41526E+00
   3    0.42198E+00    0.62471E-02    0.13241E+01    0.80255E+01    0.42198E+00
