 0.11667E+04 0.21236E+01 0.00000E+00    30001     1583    4     1579 0.135E+01 0.40484E-02  0.11667E+04
   2    0.11730E+04    0.10264E+02    0.55343E+00    0.35139E+04    0.11730E+04
   3    0.11685E+04    0.48523E+01    0.37143E+00    0.24650E+04    0.11685E+04
   4    0.11660E+04    0.24269E+01    0.26329E+00    0.19149E+04    0.11660E+04
