 0.87309E-09 0.18004E-10 0.00000E+00    15001      968    4      408 0.467E+12 0.10969E-13  0.87309E-09
   2    0.96845E-09    0.10347E-09    0.47783E+01    0.10598E-06    0.96845E-09
   3    0.83128E-09    0.41676E-10    0.31708E+01    0.89128E-07    0.83128E-09
   4    0.87753E-09    0.20313E-10    0.20704E+01    0.45623E-07    0.87753E-09
