 0.16662E-05 0.35069E-07 0.00000E+00    14001     1355    3     1351 0.811E+09 0.11355E-10  0.16662E-05
   1    0.16729E-05    0.11466E-06    0.30651E+01    0.69334E-04    0.16729E-05
   2    0.17543E-05    0.45332E-07    0.16343E+01    0.23885E-04    0.17543E-05
   3    0.16352E-05    0.24918E-07    0.13630E+01    0.25430E-04    0.16352E-05
