 0.37896E+00 0.57019E-02 0.00000E+00    14001      963    3      958 0.253E+04 0.26408E-05  0.37896E+00
   1    0.34287E+00    0.19545E-01    0.25493E+01    0.88705E+01    0.34287E+00
   2    0.38100E+00    0.91863E-02    0.15249E+01    0.53614E+01    0.38100E+00
   3    0.38028E+00    0.50090E-02    0.11781E+01    0.10368E+02    0.38028E+00
