 0.40481E+00 0.49309E-02 0.00000E+00    14001      914    3      909 0.225E+04 0.28264E-05  0.40481E+00
   1    0.38952E+00    0.77397E-02    0.88861E+00    0.20520E+01    0.38952E+00
   2    0.40916E+00    0.60755E-02    0.93911E+00    0.42312E+01    0.40916E+00
   3    0.40700E+00    0.43716E-02    0.96070E+00    0.84674E+01    0.40700E+00
