 0.42099E+00 0.33267E-02 0.00000E+00    30001     1786    4     1782 0.423E+04 0.14572E-05  0.42099E+00
   2    0.42221E+00    0.10066E-01    0.15079E+01    0.71291E+01    0.42221E+00
   3    0.42417E+00    0.69815E-02    0.14721E+01    0.33139E+02    0.42417E+00
   4    0.41968E+00    0.40831E-02    0.12306E+01    0.35909E+02    0.41968E+00
