 0.26989E+00 0.22727E-02 0.00000E+00    30001     2546    4     1884 0.698E+04 0.93736E-06  0.26989E+00
   2    0.27612E+00    0.69173E-02    0.15844E+01    0.66217E+01    0.27612E+00
   3    0.26680E+00    0.45576E-02    0.15279E+01    0.10214E+02    0.26680E+00
   4    0.26996E+00    0.28328E-02    0.13273E+01    0.15003E+02    0.26996E+00
