 0.21817E-01 0.30172E-03 0.00000E+00    14001     2239    3      740 0.339E+05 0.15205E-06  0.21817E-01
   1    0.21810E-01    0.10986E-02    0.22527E+01    0.82593E+00    0.21810E-01
   2    0.21640E-01    0.56426E-03    0.16491E+01    0.54531E+00    0.21640E-01
   3    0.21896E-01    0.37753E-03    0.15422E+01    0.82795E+00    0.21896E-01
