 0.74707E-04 0.79812E-06 0.00000E+00    30001     2832    4     1211 0.162E+08 0.25715E-09  0.74707E-04
   2    0.74814E-04    0.26614E-05    0.22499E+01    0.32782E-02    0.74814E-04
   3    0.76602E-04    0.17143E-05    0.20017E+01    0.64659E-02    0.76602E-04
   4    0.74060E-04    0.95812E-06    0.16364E+01    0.26784E-02    0.74060E-04
