 0.26208E+00 0.27618E-02 0.00000E+00    14001      935    3      930 0.355E+04 0.18229E-05  0.26208E+00
   1    0.26525E+00    0.18358E-01    0.30951E+01    0.10402E+02    0.26525E+00
   2    0.26032E+00    0.58735E-02    0.14270E+01    0.53825E+01    0.26032E+00
   3    0.26249E+00    0.31757E-02    0.10821E+01    0.48132E+01    0.26249E+00
