 0.64702E-01 0.42720E-03 0.00000E+00    62001     8202    5     2746 0.424E+05 0.11237E-06  0.64702E-01
   3    0.64336E-01    0.11768E-02    0.16361E+01    0.28790E+01    0.64336E-01
   4    0.64864E-01    0.94748E-03    0.18477E+01    0.88939E+01    0.64864E-01
   5    0.64724E-01    0.52388E-03    0.14479E+01    0.40164E+01    0.64724E-01
