 0.40974E+00 0.48589E-02 0.00000E+00    14001     1720    3     1330 0.325E+04 0.28426E-05  0.40974E+00
   1    0.42865E+00    0.21772E-01    0.22715E+01    0.21802E+02    0.42865E+00
   2    0.40663E+00    0.99178E-02    0.15426E+01    0.11346E+02    0.40663E+00
   3    0.40933E+00    0.57642E-02    0.12595E+01    0.61582E+01    0.40933E+00
