 0.26774E+00 0.18218E-02 0.00000E+00    30001     1851    4     1847 0.690E+04 0.93054E-06  0.26774E+00
   2    0.26133E+00    0.62385E-02    0.15098E+01    0.46698E+01    0.26133E+00
   3    0.27044E+00    0.53310E-02    0.17631E+01    0.30923E+02    0.27044E+00
   4    0.26800E+00    0.20393E-02    0.96253E+00    0.44521E+01    0.26800E+00
