1       c s > u s chi chi~
mirror  s c > u s chi chi~
2       c s~ > u s~ chi chi~
mirror  s~ c > u s~ chi chi~
3       c~ s~ > u~ s~ chi chi~
mirror  s~ c~ > u~ s~ chi chi~
