 0.26443E+00 0.29044E-02 0.00000E+00    14001      960    3      956 0.362E+04 0.18402E-05  0.26443E+00
   1    0.26831E+00    0.18005E-01    0.30010E+01    0.11987E+02    0.26831E+00
   2    0.26119E+00    0.69733E-02    0.16886E+01    0.14451E+02    0.26119E+00
   3    0.26498E+00    0.32461E-02    0.10957E+01    0.37765E+01    0.26498E+00
